,mean,std,min,max
mgx_k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii,0.04145134,0.61461705,0.0,12.5162
mgx_k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,0.1727405,0.59556705,0.0,8.06698
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180,0.109426074,0.59249437,0.0,6.20741
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,0.10225708,0.58774453,0.0,8.68875
mgx_k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae,0.04482651,0.57602155,0.0,12.94106
mgx_k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii,0.029465348,0.5369912,0.0,14.59667
mgx_k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens,0.11092189,0.5308708,0.0,5.24042
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,0.15731661,0.5283806,0.0,7.03034
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale,0.045717258,0.5249155,0.0,9.89819
mgx_k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.07892605,0.5207065,0.0,10.14285
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_sp_CAG_318,0.05227377,0.5170277,0.0,8.96703
mgx_k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola,0.06062857,0.50293034,0.0,9.45753
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,0.117653616,0.4863152,0.0,7.1414
mgx_k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,0.05547602,0.4846113,0.0,9.45135
mgx_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pasteurianus,0.017217815,0.4725662,0.0,13.10433
mgx_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,0.108222194,0.46039653,0.0,4.44937
mgx_k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,0.025967425,0.45808682,0.0,10.29252
mgx_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59,0.056674644,0.44224468,0.0,10.63397
mgx_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,0.080745794,0.43540272,0.0,8.24033
mtx_UNINTEGRATED,694746.5,119975.41,0.0,918955.0
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_copri,23587.64,84125.76,0.0,836160.0
mtx_UNINTEGRATED|unclassified,119724.38,69242.336,0.0,812694.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus,41141.84,61267.883,0.0,554092.0
mtx_UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii,38327.47,59897.84,0.0,509165.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,57125.902,58203.395,0.0,471391.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus,49780.773,58162.566,0.0,352164.0
mtx_UNINTEGRATED|g__Escherichia.s__Escherichia_coli,9791.853,48468.496,0.0,722777.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae,31699.027,44705.457,0.0,470181.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis,23428.979,41791.266,0.0,304072.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens,23645.53,37342.434,0.0,203881.0
mtx_UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis,8641.011,30796.447,0.0,393410.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei,10345.378,26401.404,0.0,270444.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron,12767.624,22285.105,0.0,144491.0
mtx_UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis,6449.0015,19587.271,0.0,252631.0
